date,미국,일본,홍콩,영국,독일,프랑스,멕시코,캐나다,대한민국,호주,브라질,스페인,USA,Japan,HongKong,UK,Germany,France,Mexico,Canada,Korea,Australia,Brazil,Spain
2026-01-04,,,,,,,,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
2026-01-05,,,,,,,,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
