country,flag,locale,rank,status,checked_at
브라질,🇧🇷,pt-br,10.0,found,2026-08-29T16:47:03+09:00
미국,🇺🇸,en-us,,error,2026-08-29T16:47:03+09:00
멕시코,🇲🇽,es-mx,,not_found,2026-08-29T16:47:03+09:00
아르헨티나,🇦🇷,es-ar,,not_found,2026-08-29T16:47:03+09:00
칠레,🇨🇱,es-cl,,not_found,2026-08-29T16:47:03+09:00
캐나다,🇨🇦,en-ca,,not_found,2026-08-29T16:47:03+09:00
콜롬비아,🇨🇴,es-co,,error,2026-08-29T16:47:03+09:00
페루,🇵🇪,es-pe,,error,2026-08-29T16:47:03+09:00
우루과이,🇺🇾,es-uy,,error,2026-08-29T16:47:03+09:00
볼리비아,🇧🇴,es-bo,,error,2026-08-29T16:47:03+09:00
과테말라,🇬🇹,es-gt,,error,2026-08-29T16:47:03+09:00
온두라스,🇭🇳,es-hn,,error,2026-08-29T16:47:03+09:00
코스타리카,🇨🇷,es-cr,,error,2026-08-29T16:47:03+09:00
에콰도르,🇪🇨,es-ec,,error,2026-08-29T16:47:03+09:00
엘살바도르,🇸🇻,es-sv,,error,2026-08-29T16:47:03+09:00
니카라과,🇳🇮,es-ni,,error,2026-08-29T16:47:03+09:00
파나마,🇵🇦,es-pa,,error,2026-08-29T16:47:03+09:00
파라과이,🇵🇾,es-py,,error,2026-08-29T16:47:03+09:00
영국,🇬🇧,en-gb,,error,2026-08-29T16:47:03+09:00
독일,🇩🇪,de-de,,error,2026-08-29T16:47:03+09:00
프랑스,🇫🇷,fr-fr,,error,2026-08-29T16:47:03+09:00
스페인,🇪🇸,es-es,,error,2026-08-29T16:47:03+09:00
이탈리아,🇮🇹,it-it,,error,2026-08-29T16:47:03+09:00
네덜란드,🇳🇱,nl-nl,,error,2026-08-29T16:47:03+09:00
폴란드,🇵🇱,pl-pl,,error,2026-08-29T16:47:03+09:00
스위스,🇨🇭,de-ch,,error,2026-08-29T16:47:03+09:00
스웨덴,🇸🇪,sv-se,,error,2026-08-29T16:47:03+09:00
노르웨이,🇳🇴,no-no,,error,2026-08-29T16:47:03+09:00
덴마크,🇩🇰,en-dk,,error,2026-08-29T16:47:03+09:00
핀란드,🇫🇮,fi-fi,,error,2026-08-29T16:47:03+09:00
포르투갈,🇵🇹,pt-pt,,error,2026-08-29T16:47:03+09:00
그리스,🇬🇷,en-gr,,error,2026-08-29T16:47:03+09:00
체코,🇨🇿,en-cz,,error,2026-08-29T16:47:03+09:00
헝가리,🇭🇺,en-hu,,error,2026-08-29T16:47:03+09:00
루마니아,🇷🇴,en-ro,,error,2026-08-29T16:47:03+09:00
슬로바키아,🇸🇰,en-sk,,error,2026-08-29T16:47:03+09:00
우크라이나,🇺🇦,ru-ua,,error,2026-08-29T16:47:03+09:00
사우디아라비아,🇸🇦,en-sa,,error,2026-08-29T16:47:03+09:00
아랍에미리트,🇦🇪,en-ae,,error,2026-08-29T16:47:03+09:00
남아공,🇿🇦,en-za,,error,2026-08-29T16:47:03+09:00
터키,🇹🇷,en-tr,,error,2026-08-29T16:47:03+09:00
벨기에,🇧🇪,nl-be,,error,2026-08-29T16:47:03+09:00
오스트리아,🇦🇹,de-at,,error,2026-08-29T16:47:03+09:00
이스라엘,🇮🇱,en-il,,error,2026-08-29T16:47:03+09:00
크로아티아,🇭🇷,en-hr,,error,2026-08-29T16:47:03+09:00
불가리아,🇧🇬,en-bg,,error,2026-08-29T16:47:03+09:00
키프로스,🇨🇾,en-cy,,error,2026-08-29T16:47:03+09:00
아이슬란드,🇮🇸,en-is,,error,2026-08-29T16:47:03+09:00
아일랜드,🇮🇪,en-ie,,error,2026-08-29T16:47:03+09:00
쿠웨이트,🇰🇼,en-kw,,error,2026-08-29T16:47:03+09:00
레바논,🇱🇧,en-lb,,error,2026-08-29T16:47:03+09:00
룩셈부르크,🇱🇺,de-lu,,error,2026-08-29T16:47:03+09:00
몰타,🇲🇹,en-mt,,error,2026-08-29T16:47:03+09:00
오만,🇴🇲,en-om,,error,2026-08-29T16:47:03+09:00
카타르,🇶🇦,en-qa,,error,2026-08-29T16:47:03+09:00
바레인,🇧🇭,en-bh,,error,2026-08-29T16:47:03+09:00
일본,🇯🇵,ja-jp,,error,2026-08-29T16:47:03+09:00
한국,🇰🇷,ko-kr,,error,2026-08-29T16:47:03+09:00
호주,🇦🇺,en-au,,error,2026-08-29T16:47:03+09:00
인도,🇮🇳,en-in,,error,2026-08-29T16:47:03+09:00
태국,🇹🇭,en-th,,error,2026-08-29T16:47:03+09:00
싱가포르,🇸🇬,en-sg,,error,2026-08-29T16:47:03+09:00
말레이시아,🇲🇾,en-my,,error,2026-08-29T16:47:03+09:00
인도네시아,🇮🇩,en-id,,error,2026-08-29T16:47:03+09:00
홍콩,🇭🇰,en-hk,,error,2026-08-29T16:47:03+09:00
대만,🇹🇼,zh-hant-tw,,error,2026-08-29T16:47:03+09:00
뉴질랜드,🇳🇿,en-nz,,error,2026-08-29T16:47:03+09:00
중국,🇨🇳,zh-cn,,skipped,2026-08-29T16:47:03+09:00
슬로베니아,🇸🇮,en-si,,skipped,2026-08-29T16:47:03+09:00
베트남,🇻🇳,en-vn,,skipped,2026-08-29T16:47:03+09:00
필리핀,🇵🇭,en-ph,,skipped,2026-08-29T16:47:03+09:00
